id	name	description	url	type
ART-MASLAKOVS-1928	Sergejs Masļakovs	Latvian; painter; 1928–1979	https://arsaccordia.com/artists/ART-MASLAKOVS-1928.html	Q5
ART-MATVEJEVS-1910	Georgs Matvejevs	Latvian; painter; 1910–1966	https://arsaccordia.com/artists/ART-MATVEJEVS-1910.html	Q5
ART-MEDNIS-1910	Jānis Mednis	Latvian; painter; 1910–1997	https://arsaccordia.com/artists/ART-MEDNIS-1910.html	Q5
ART-MEDNITIS-1903	Bernhards Mednītis	Latvian; painter; 1903–1982	https://arsaccordia.com/artists/ART-MEDNITIS-1903.html	Q5
ART-MEILERTE-1908	Ludmila Meilerte	Latvian; painter; 1908–1997	https://arsaccordia.com/artists/ART-MEILERTE-1908.html	Q5
ART-MELBARZDIS-1902	Kārlis Melbārzdis	Latvian; painter; 1902–1970	https://arsaccordia.com/artists/ART-MELBARZDIS-1902.html	Q5
ART-MELDERE-1949	Anita Meldere	Latvian; painter; 1949	https://arsaccordia.com/artists/ART-MELDERE-1949.html	Q5
ART-MELKIS-1908	Ernests Meļķis	Latvian; painter; 1908–1977	https://arsaccordia.com/artists/ART-MELKIS-1908.html	Q5
ART-MELNARS-1908	Ādolfs Melnārs	Latvian; painter; 1908–1963	https://arsaccordia.com/artists/ART-MELNARS-1908.html	Q5
ART-METUZALS-1889	Eduards Metuzāls	Latvian; painter; 1889–1978	https://arsaccordia.com/artists/ART-METUZALS-1889.html	Q5
ART-MIESNIEKS-1887	Kārlis Miesnieks	Latvian; painter; 1887–1977	https://arsaccordia.com/artists/ART-MIESNIEKS-1887.html	Q5
ART-MILGRAVIS-1923	Voldemārs Mīlgrāvis	Latvian; painter; 1923–2002	https://arsaccordia.com/artists/ART-MILGRAVIS-1923.html	Q5
ART-MILTS-1906	Fridrihs Milts	Latvian; painter; 1906–1993	https://arsaccordia.com/artists/ART-MILTS-1906.html	Q5
ART-MURNIEKS-1922	Laimdots Mūrnieks	Latvian; painter; 1922–2011	https://arsaccordia.com/artists/ART-MURNIEKS-1922.html	Q5
ART-MUZIS-1944	Roberts Muzis	Latvian; painter; 1944	https://arsaccordia.com/artists/ART-MUZIS-1944.html	Q5
ART-NALOGINS-1922	Aleksandrs Nalogins	Latvian; painter; 1922–1993	https://arsaccordia.com/artists/ART-NALOGINS-1922.html	Q5
ART-NEILIS-1906	Kārlis Neilis	Latvian; painter; 1906–1991	https://arsaccordia.com/artists/ART-NEILIS-1906.html	Q5
ART-NEMME-1901	Otomārs Nemme	Latvian; painter; 1901–1947	https://arsaccordia.com/artists/ART-NEMME-1901.html	Q5
ART-OSIS-1926	Jānis Osis	Latvian; painter; 1926–1991	https://arsaccordia.com/artists/ART-OSIS-1926.html	Q5
ART-OZOLS-1929	Vilis Ozols	Latvian; painter; 1929–2014	https://arsaccordia.com/artists/ART-OZOLS-1929.html	Q5
ART-PADEGS-1911	Kārlis Padegs	Latvian; painter; 1911–1940	https://arsaccordia.com/artists/ART-PADEGS-1911.html	Q5
ART-PANKOKS-1914	Arnolds Pankoks	Latvian; painter; 1914–2008	https://arsaccordia.com/artists/ART-PANKOKS-1914.html	Q5
ART-PAULINS-1948	Alberts Pauliņš	Latvian; painter; 1948–2026	https://arsaccordia.com/artists/ART-PAULINS-1948.html	Q5
ART-PAULUKA-1925	Felicita Pauļuka	Latvian; painter; 1925–2014	https://arsaccordia.com/artists/ART-PAULUKA-1925.html	Q5
ART-PAULUKS-1906	Jānis Pauļuks	Latvian; painter; 1906–1984	https://arsaccordia.com/artists/ART-PAULUKS-1906.html	Q5
ART-PEILANE-1915	Marianna Peilāne	Latvian; painter; 1915–1996	https://arsaccordia.com/artists/ART-PEILANE-1915.html	Q5
ART-PERLE-1875	Rūdolfs Pērle	Latvian; painter, graphic artist; 1875–1917	https://arsaccordia.com/artists/ART-PERLE-1875.html	Q5
ART-PETROVS-1874	Aleksandrs Petrovs	Latvian; painter; 1874–1956	https://arsaccordia.com/artists/ART-PETROVS-1874.html	Q5
ART-PIGOZNIS-1934	Jāzeps Pīgoznis	Latvian; painter; 1934–2014	https://arsaccordia.com/artists/ART-PIGOZNIS-1934.html	Q5
ART-PINNIS-1902	Rūdolfs Pinnis	Latvian; painter; 1902–1992	https://arsaccordia.com/artists/ART-PINNIS-1902.html	Q5
ART-PLADERS-1897	Oto Pladers	Latvian; painter; 1897–1970	https://arsaccordia.com/artists/ART-PLADERS-1897.html	Q5
ART-PLITE-PLEITA-1888	Alfrēds Plīte-Pleita	Latvian; painter; 1888–1921	https://arsaccordia.com/artists/ART-PLITE-PLEITA-1888.html	Q5
ART-POSTAZA-1941	Lilita Postaža	Latvian; painter; 1941–2011	https://arsaccordia.com/artists/ART-POSTAZA-1941.html	Q5
ART-POSTAZS-1940	Pēteris Postažs	Latvian; painter; 1940	https://arsaccordia.com/artists/ART-POSTAZS-1940.html	Q5
ART-PUPOLS-1887	Jānis Pūpols	Latvian; painter; 1887–1956	https://arsaccordia.com/artists/ART-PUPOLS-1887.html	Q5
ART-PURMALE-1945	Līga Purmale	Latvian; painter; 1945	https://arsaccordia.com/artists/ART-PURMALE-1945.html	Q5
ART-PURVITIS-1872	Vilhelms Purvītis	Latvian; painter; 1872–1945	https://arsaccordia.com/artists/ART-PURVITIS-1872.html	Q5
ART-RADZINS-1957	Egīls Radziņš	Latvian; painter; 1957–1993	https://arsaccordia.com/artists/ART-RADZINS-1957.html	Q5
