id	name	desc	url	q
AP-2026-000098	Pie galda (Bēgles)	painting, by Aleksandrs Drēviņš, 1916	https://arsaccordia.com/AP-2026-000098.html	140400115
AP-2026-000099	Konstrukcija	drawing, by Gustavs Klucis, 1921	https://arsaccordia.com/AP-2026-000099.html	140400112
AP-2026-000100	VHUTEMAS uzbūve	painting, by Gustavs Klucis, 1920	https://arsaccordia.com/AP-2026-000100.html	140400113
AP-2026-000101	Sarkanā krūze	painting, by Aleksandrs Drēviņš, 1915	https://arsaccordia.com/AP-2026-000101.html	140400118
AP-2026-000102	Gleznieciska kompozīcija	painting, by Aleksandrs Drēviņš, 1921	https://arsaccordia.com/AP-2026-000102.html	140400117
AP-2026-000103	Konstrukcija	drawing, by Kārlis Johansons, 1921	https://arsaccordia.com/AP-2026-000103.html	140400120
AP-2026-000104	Kompozīcija	drawing, by Kārlis Johansons, 1921	https://arsaccordia.com/AP-2026-000104.html	140400121
AP-2026-000105	Stumbri un lapotnes	painting, by Jānis Valters, 1925	https://arsaccordia.com/AP-2026-000105.html	140400150
AP-2026-000106	Ainava ar kokiem	painting, by Jānis Valters, 1923	https://arsaccordia.com/AP-2026-000106.html	140400151
AP-2026-000107	Ekspresīva klusā daba	painting, by Jānis Valters, c. 1924	https://arsaccordia.com/AP-2026-000107.html	140400152
AP-2026-000108	Klusā daba ar siļķi	painting, by Leo Svemps, 1922	https://arsaccordia.com/AP-2026-000108.html	140400159
AP-2026-000109	Klusā daba ar avīzi un hortenziju	painting, by Leo Svemps, 1921	https://arsaccordia.com/AP-2026-000109.html	140400162
AP-2026-000110	Sieviete	painting, by Leo Svemps, 1922	https://arsaccordia.com/AP-2026-000110.html	140400161
AP-2026-000111	Ainava ar ceļu	painting, by Otomārs Nemme, 1921	https://arsaccordia.com/AP-2026-000111.html	140400164
AP-2026-000112	Bērzi	painting, by Vilhelms Purvītis, c. 1900	https://arsaccordia.com/AP-2026-000112.html	140400172
AP-2026-000113	Sarkanais cilvēks	painting, by Gustavs Klucis, 1918	https://arsaccordia.com/AP-2026-000113.html	140400452
AP-2026-000114		painting, by Ģederts Eliass	https://arsaccordia.com/AP-2026-000114.html	20778981
AP-2026-000115		painting, by Ludolfs Liberts	https://arsaccordia.com/AP-2026-000115.html	20785302
AP-2026-000116	Cilvēks, kas ieiet istabā	painting, by Niklāvs Strunke, 1927	https://arsaccordia.com/AP-2026-000116.html	22043770
AP-2026-000117	The Town of Kraslava	painting, by Niklāvs Strunke, 1930s	https://arsaccordia.com/AP-2026-000117.html	28540140
AP-2026-000118	At the Machine Gun	watercolour painting, by Niklāvs Strunke, 1916	https://arsaccordia.com/AP-2026-000118.html	63271097
AP-2026-000119	Klusā daba	painting, by Niklāvs Strunke, 1920s	https://arsaccordia.com/AP-2026-000119.html	63392500
AP-2026-000120	Gondolier	watercolour painting, by Niklāvs Strunke, 1926	https://arsaccordia.com/AP-2026-000120.html	63392512
AP-2026-000121	Summer in the Soldier's Carriage	drawing, by Jēkabs Kazaks, 1917	https://arsaccordia.com/AP-2026-000121.html	63434762
AP-2026-000122	Still-Life with Set Square	painting, by Romans Suta, 1924	https://arsaccordia.com/AP-2026-000122.html	63434768
AP-2026-000123	Still Life with Chess	painting, by Romans Suta, 1927	https://arsaccordia.com/AP-2026-000123.html	63434772
AP-2026-000124	Jaunmoku iela	painting, by Konrāds Ubāns, 1938	https://arsaccordia.com/AP-2026-000124.html	63974306
AP-2026-000125	Pie akas	painting, by Ģederts Eliass, 1935	https://arsaccordia.com/AP-2026-000125.html	63974319
AP-2026-000126	Karija ar melno kaķi	painting, by Ģederts Eliass, 1910s	https://arsaccordia.com/AP-2026-000126.html	63974331
AP-2026-000127	Self-Portrait with a Red Neckerchief	painting, by Jēkabs Kazaks, 1918	https://arsaccordia.com/AP-2026-000127.html	133463362
AP-2026-000128	Venēcija. Dodžu pils	painting, by Ludolfs Liberts, 1930	https://arsaccordia.com/AP-2026-000128.html	140334283
AP-2026-000129	Uz ežiņas galvu liku	painting, by Jēkabs Kazaks, 1918	https://arsaccordia.com/AP-2026-000129.html	140399571
AP-2026-000130	Cirkā	painting, by Jēkabs Kazaks, 1918	https://arsaccordia.com/AP-2026-000130.html	140399574
AP-2026-000131	Divas peldētājas	painting, by Jēkabs Kazaks, 1920	https://arsaccordia.com/AP-2026-000131.html	140399575
AP-2026-000132	Bēgļi	painting, by Jēkabs Kazaks, 1917	https://arsaccordia.com/AP-2026-000132.html	140399572
AP-2026-000133	Pie galda (Žanrs)	painting, by Jēkabs Kazaks, 1917	https://arsaccordia.com/AP-2026-000133.html	140399573
AP-2026-000134	Ievainotā pārsiešana	linocut print, by Jēkabs Kazaks, 1919	https://arsaccordia.com/AP-2026-000134.html	140399578
AP-2026-000135	Sieviete ar ievainoto plecos	linocut print, by Jēkabs Kazaks, 1919	https://arsaccordia.com/AP-2026-000135.html	140399579
AP-2026-000136	Gleznas mets (Karš)	watercolour painting, by Jēkabs Kazaks, 1920	https://arsaccordia.com/AP-2026-000136.html	140399577
AP-2026-000137	Leijerkastnieks	linocut print, by Jēkabs Kazaks, 1919	https://arsaccordia.com/AP-2026-000137.html	140399582
AP-2026-000138	Sieviete un vīrietis	linocut print, by Jēkabs Kazaks, 1919	https://arsaccordia.com/AP-2026-000138.html	140399583
AP-2026-000139	Meitene ar cepuri	painting, by Jēkabs Kazaks, 1919	https://arsaccordia.com/AP-2026-000139.html	140399584
AP-2026-000140	Jūlija Sproģa portrets	painting, by Jēkabs Kazaks, 1920	https://arsaccordia.com/AP-2026-000140.html	140399585
AP-2026-000141	Mītiņš	linocut print, by Romans Suta, 1919	https://arsaccordia.com/AP-2026-000141.html	140399678
AP-2026-000142	Bēres	linocut print, by Romans Suta, 1919	https://arsaccordia.com/AP-2026-000142.html	140399679
AP-2026-000143	Klusā daba ar nazi	painting, by Romans Suta, 1918	https://arsaccordia.com/AP-2026-000143.html	140399682
AP-2026-000144	Divas sievietes pie galda	painting, by Romans Suta, c. 1918	https://arsaccordia.com/AP-2026-000144.html	140399683
AP-2026-000145	Iela	painting, by Romans Suta, c. 1920	https://arsaccordia.com/AP-2026-000145.html	140399680
AP-2026-000146	Pašportrets ar pīpi	painting, by Romans Suta, 1919	https://arsaccordia.com/AP-2026-000146.html	140399681
AP-2026-000147	Sieviete ar ģitāru	painting, by Romans Suta, c. 1923	https://arsaccordia.com/AP-2026-000147.html	140399686
AP-2026-000148	Klusā daba ar pudeli	painting, by Romans Suta, 1923	https://arsaccordia.com/AP-2026-000148.html	140399687
AP-2026-000149	Konstruktīva klusā daba	painting, by Romans Suta, c. 1918	https://arsaccordia.com/AP-2026-000149.html	140399684
AP-2026-000150	Arlekīns ar ģitāru	painting, by Romans Suta, 1923	https://arsaccordia.com/AP-2026-000150.html	140399685
AP-2026-000151	Kompozīcija (Konstrukcija)	painting, by Romans Suta, c. 1927	https://arsaccordia.com/AP-2026-000151.html	140399690
AP-2026-000152	Klusā daba ar zāģi	painting, by Romans Suta, 1922	https://arsaccordia.com/AP-2026-000152.html	140399691
AP-2026-000153	Klusā daba ar glāzi	painting, by Romans Suta, 1923	https://arsaccordia.com/AP-2026-000153.html	140399688
AP-2026-000154	Klusā daba ar pīpi	painting, by Romans Suta, 1923	https://arsaccordia.com/AP-2026-000154.html	140399689
AP-2026-000155	Plase ar draudzeni	painting, by Romans Suta, 1927	https://arsaccordia.com/AP-2026-000155.html	140399692
AP-2026-000156	Edvarta Virzas portrets	painting, by Konrāds Ubāns, 1917	https://arsaccordia.com/AP-2026-000156.html	140399726
AP-2026-000157	Bēgļi	painting, by Konrāds Ubāns, 1917	https://arsaccordia.com/AP-2026-000157.html	140399727
AP-2026-000158	Pie spoguļa	linocut print, by Konrāds Ubāns, 1919	https://arsaccordia.com/AP-2026-000158.html	140399724
AP-2026-000159	Sieviete	linocut print, by Konrāds Ubāns, 1919	https://arsaccordia.com/AP-2026-000159.html	140399725
AP-2026-000160	Figūra	painting, by Konrāds Ubāns, 1919	https://arsaccordia.com/AP-2026-000160.html	140399730
AP-2026-000161	Parkā	painting, by Konrāds Ubāns, 1923	https://arsaccordia.com/AP-2026-000161.html	140399731
AP-2026-000162	Klusā daba ar vāzi	painting, by Konrāds Ubāns, 1919	https://arsaccordia.com/AP-2026-000162.html	140399728
AP-2026-000163	Atdusā	painting, by Konrāds Ubāns, 1923	https://arsaccordia.com/AP-2026-000163.html	140399734
AP-2026-000164	Māras dīķis	painting, by Konrāds Ubāns, 1923	https://arsaccordia.com/AP-2026-000164.html	140399732
AP-2026-000165	Saruna	painting, by Konrāds Ubāns, 1923	https://arsaccordia.com/AP-2026-000165.html	140399733
AP-2026-000166	Jēkabmiests	painting, by Uga Skulme, 1921	https://arsaccordia.com/AP-2026-000166.html	140399958
AP-2026-000167	Jēkabmiests	painting, by Uga Skulme, 1921	https://arsaccordia.com/AP-2026-000167.html	140399959
AP-2026-000168	Klusā daba ar mūzikas instrumentiem	painting, by Uga Skulme, 1923	https://arsaccordia.com/AP-2026-000168.html	140399962
AP-2026-000169	Portrets. Vīrietis pie galda	painting, by Uga Skulme, 1923	https://arsaccordia.com/AP-2026-000169.html	140399960
AP-2026-000170	Lieldienas	painting, by Uga Skulme, 1923	https://arsaccordia.com/AP-2026-000170.html	140399966
AP-2026-000171	Astoņas peldētājas	drawing, by Uga Skulme, c. 1925	https://arsaccordia.com/AP-2026-000171.html	140399967
AP-2026-000172	Koncerts	painting, by Uga Skulme, 1923	https://arsaccordia.com/AP-2026-000172.html	140399964
AP-2026-000173	Čigāni	painting, by Uga Skulme, 1928	https://arsaccordia.com/AP-2026-000173.html	140399965
AP-2026-000174	Klusā daba ar galvaskausiem	painting, by Uga Skulme, c. 1926	https://arsaccordia.com/AP-2026-000174.html	140399970
AP-2026-000175	Pašportrets	painting, by Uga Skulme, 1926	https://arsaccordia.com/AP-2026-000175.html	140399971
AP-2026-000176	Jēzus dzimšana	drawing, by Uga Skulme, c. 1925	https://arsaccordia.com/AP-2026-000176.html	140399968
AP-2026-000177	Klusā daba	painting, by Uga Skulme, 1924	https://arsaccordia.com/AP-2026-000177.html	140399969
AP-2026-000178	Ainava ar ģindeņiem	painting, by Uga Skulme, 1928	https://arsaccordia.com/AP-2026-000178.html	140399974
AP-2026-000179	Elizabetes Skulmes portrets	painting, by Uga Skulme, 1927	https://arsaccordia.com/AP-2026-000179.html	140399972
AP-2026-000180	Akts	painting, by Uga Skulme, 1928	https://arsaccordia.com/AP-2026-000180.html	140399973
AP-2026-000181	Kompozīcija	linocut print, by Niklāvs Strunke, 1919	https://arsaccordia.com/AP-2026-000181.html	140400004
AP-2026-000182	Kafija	linocut print, by Niklāvs Strunke, 1919	https://arsaccordia.com/AP-2026-000182.html	140400005
AP-2026-000183	Automātiskās durvis	painting, by Niklāvs Strunke, 1923	https://arsaccordia.com/AP-2026-000183.html	140400010
AP-2026-000184	Pašportrets ar lelli	painting, by Niklāvs Strunke, 1921	https://arsaccordia.com/AP-2026-000184.html	140400008
AP-2026-000185	Klusā daba ar kafijas dzirnaviņām	painting, by Niklāvs Strunke, c. 1923	https://arsaccordia.com/AP-2026-000185.html	140400009
AP-2026-000186	Galvas konstrukcija (Ivo Panadži portrets)	painting, by Niklāvs Strunke, 1924	https://arsaccordia.com/AP-2026-000186.html	140400014
AP-2026-000187	Cilvēks, kas ieiet istabā	painting, by Niklāvs Strunke, 1927	https://arsaccordia.com/AP-2026-000187.html	140400015
AP-2026-000188	Kapri	painting, by Niklāvs Strunke, 1924	https://arsaccordia.com/AP-2026-000188.html	140400012
AP-2026-000189	Pie galda	painting, by Niklāvs Strunke, 1923	https://arsaccordia.com/AP-2026-000189.html	140400013
