artbase_id	name	birth_year	score	wikidata_qid	ulan_id	viaf_id	wikidata_desc	reason
ART-POSTAZS-1976	Paulis Postažs	1976	low	Q17860986		305072103		birth year 1976 matches (no artist keyword)
ART-PREISA-1976	Ilze Preisa	1976	low	Q99481659				birth year 1976 matches (no artist keyword)
ART-PUPOLS-1887	Jānis Pūpols	1887	none					no candidates returned
ART-PURMALE-1945	Līga Purmale	1945	low	Q6711682		45402656	Latvian artist (born 1948)	artist keyword in description (birth year not confirmed)
ART-PUTRAMS-1956	Juris Putrāms	1956	low	Q99481514				birth year 1956 matches (no artist keyword)
ART-RADZINS-1957	Egīls Radziņš	1957	none					no candidates returned
ART-RIEKSTINS-1928	Jānis Riekstiņš	1928	none					no candidates returned
ART-RIKMANIS-1901	Jānis Rikmanis	1901	low	Q99478135		305089579		birth year 1901 matches (no artist keyword)
ART-ROZENS-1864	Kārlis Rozens	1864	none					no candidates returned
ART-SALDAVS-1907	Oļģerts Saldavs	1907	none					no candidates returned
ART-SEGELMANS-1933	Semjons Šegelmans	1933	none					no candidates returned
ART-SEVERETNIKOVS-1962	Andrejs Severetņikovs	1962	low	Q99479625				birth year 1962 matches (no artist keyword)
ART-SIPANS-1913	Bruno Sipāns	1913	low	Q99481188		9148752166141201331		birth year 1913 matches (no artist keyword)
ART-SKUCS-1908	Jānis Skučs	1908	low	Q99479005		107952493		birth year 1908 matches (no artist keyword)
ART-SKULME-1889	Oto Skulme	1889	low	Q4422702	500121476	96577403	Latvian graphic designer (1889-1967)	birth year 1889 matches (no artist keyword)
ART-SKULME-1895	Uga Skulme	1895	low	Q7877565	500121477	13392090	Latvian painter (1885-1963)	artist keyword in description (birth year not confirmed)
ART-SMILDZINA-1973	Ilze Smildziņa	1973	none					no candidates returned
ART-SPALVINS-1911	Arnolds Spalviņš	1911	none					no candidates returned
ART-SPRENKS-1898	Pauls Šprenks	1898	none					no candidates returned
ART-SPRINGIS-1907	Jēkabs Spriņģis	1907	none					no candidates returned
ART-STEINERTE-1942	Rūta Šteinerte	1942	none					no candidates returned
ART-STRALS-1879	Aleksandrs Štrāls	1879	low	Q99478293		305058098		birth year 1879 matches (no artist keyword)
ART-STRAUJA-1907	Arvīds Strauja	1907	low	Q45200981		60964500		birth year 1907 matches (no artist keyword)
ART-STRELE-1991	Sandra Strēle	1991	none					no candidates returned
ART-STUMBRIS-1942	Mārcis Stumbris	1942	low	Q109864320		305091745		birth year 1942 matches (no artist keyword)
ART-SUBACS-1963	Māris Subačs	1963	low	Q99480580				birth year 1963 matches (no artist keyword)
ART-SUNINS-1904	Žanis Sūniņš	1904	low	Q99478348		305073415		birth year 1904 matches (no artist keyword)
ART-TIDEMANIS-1897	Jānis Tīdemanis	1897	none					no candidates returned
ART-TILLBERGS-1880	Jānis-Roberts Tillbergs	1880	none					no candidates returned
ART-TOROPINS-1924	Aleksandrs Toropins	1924	none					no candidates returned
ART-TOROPINS-1952	Juris Toropins	1952	none					no candidates returned
ART-ULDRIKIS-1909	Teodors Uldriķis	1909	none					no candidates returned
ART-UZTICIS-1914	Valters Uzticis	1914	low	Q131680691		305098211		birth year 1914 matches (no artist keyword)
ART-VALDMANIS-1938	Edgars Valdmanis	1938	none					no candidates returned
ART-VALTERS-1869	Jānis Valters	1869	none					no candidates returned
ART-VARSLAVANS-1899	Francisks Varslavāns	1899	low	Q16356568		7013884	Latvian painter (1898-1949)	artist keyword in description (birth year not confirmed)
ART-VEGERE-1948	Baiba Vegere	1948	low	Q139038281		311598247		birth year 1948 matches (no artist keyword)
ART-VEITNERS-1907	Kārlis Veitners	1907	low	Q99479396		15148752166141201333		birth year 1907 matches (no artist keyword)
ART-VELDRE-1927	Harijs Veldre	1927	none					no candidates returned
ART-VINDEDZIS-1911	Oskars Vīndedzis	1911	low	Q99482158		21167561682198490039		birth year 1911 matches (no artist keyword)
ART-VINOGRADOVS-1869	Sergejs Vinogradovs	1869	none					no candidates returned
ART-VITOLS-1877	Eduards Vītols	1877	low	Q47353298		305090173		birth year 1877 matches (no artist keyword)
ART-VUCANS-1905	Alberts Vucāns	1905	none					no candidates returned
ART-ZALITIS-1976	Kalvis Zālītis	1976	none					no candidates returned
ART-ZAMS-1907	Eduards Zams	1907	none					no candidates returned
ART-ZARINA-1954	Aija Zariņa	1954	low	Q94496887		227078658		birth year 1954 matches (no artist keyword)
ART-ZAVICKIS-1911	Matīss Zavickis	1911	none					no candidates returned
ART-ZEMZARIS-1961	Alvis Zemzaris	1961	none					no candidates returned
ART-ZINGITIS-1973	Jānis Ziņģītis	1973	none					no candidates returned
ART-ZITMANIS-1980	Otto Zitmanis	1980	none					no candidates returned
ART-ZUPINS-1926	Arnis Zupiņš	1926	low	Q99483781		128146936771913782172		birth year 1926 matches (no artist keyword)
ART-ZVIEDRIS-1905	Aleksandrs Zviedris	1905	low	Q99480040		77327313		birth year 1905 matches (no artist keyword)
ART-ZVIRBULIS-1944	Juris Zvirbulis	1944	low	Q99478572				birth year 1944 matches (no artist keyword)
